Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2023,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Books-Over $1000,0,500
2023,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Office & Household,0,674
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Food,765.92,1150
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Gas-Natural & Propane,409.67,1001
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",0,700
2023,Cemeteries,Cemetary Fund,Cemetery,Debt Service/Transfers to CIP,Go Interest,14746,14746
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Group Life Insurance Perm,13916.11,15123
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Heating Fuel,1740.78,2650
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Membership Dues & Subscription,349,560
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Mileage,678.95,1972
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Other Contractual Services,83995.65,102222
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Peoplesoft,0,860
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Rent Of Equipment,4405.41,1750
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Buildings,0,3224
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,2750
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,4696.65,7359
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Streets & Sidewalks,1620.96,1500
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,96785,96785
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Repairs-Water Distrib System,0,650
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Retirement,127053,127053
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Retirement Expense (Vsrs Emp),70007.29,0
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Semi-Monthly/Monthly,1120596.23,1128505
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Semi-Monthly/Monthly Overtime,63652.56,29000
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Service Charge Credit Cards,0,19514
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Small Tools,10324.24,17000
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Social Security Fica Tax,89596.56,88786
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Special Pay & Allowances,24851.69,3156
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Agricultural,8560.45,8676
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,0,650
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,7358.2,6700
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,0,500
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,0,500
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Office,3181.2,3245
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Telephone,0,3100
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Telephone Chargeback I.S.,4680,4680
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Temp Services-Admin/Clerical,0,32
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Temp Services-Laborer/Industrl,0,341
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Temporary/Casual Employment,0,0
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Water & Sewage Disposal,5374.09,5735
2023,Cemeteries,Gen Fixed Assets Group Of Acct,Cemetery,Contractual Services,Depr-System Account,9632.08,0
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Department Specific Appropriation,All Purpose Appropriations,78500,78500
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Employee Training Expense,10084.56,4250
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Employers Contrb Hospitalizatn,84311.78,100799
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Equipment,Equip-Office & Household,546.45,2173
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Equipment,Equip-Software-Over $1000,0,164
2023,Circuit Court Judges,General Fund,Circuit Court Judges,"Materials, Supplies, and Repairs",Food,1376.05,554
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Group Life Insurance Perm,4376.02,5530
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Parking Validations,159,0
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Rent Of Equipment,1474.63,3000
2023,Circuit Court Judges,General Fund,Circuit Court Judges,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,5542
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Retirement,46856.19,56009
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Retirement Expense (Vsrs Emp),38113.24,17350
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Semi-Monthly/Monthly,266464.6,385004
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Semi-Monthly/Monthly Overtime,22.84,0
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Social Security Fica Tax,44023.62,31681
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Special Pay & Allowances,0,0
2023,Circuit Court Judges,General Fund,Circuit Court Judges,"Materials, Supplies, and Repairs",Supplies-Office,9436.41,8442
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Telephone,387.25,108
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Personnel Services,Temporary/Casual Employment,338156.36,242137
2023,Circuit Court Judges,General Fund,Circuit Court Judges,Contractual Services,Traveling Expense,0,654
2023,City Attorney,General Fund,City Attorney,Department Specific Appropriation,All Purpose Appropriations,45717.86,44712
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Books-Under $1000,55706.6,37600
2023,City Attorney,General Fund,City Attorney,Contractual Services,Car Pool Charges,0,200
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,4514.58,6000
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,185.23,5942
2023,City Attorney,General Fund,City Attorney,Contractual Services,Court Costs & Damage Claims,6958.95,10000
2023,City Attorney,General Fund,City Attorney,,Dependent Care FSA,5384.56,0
2023,City Attorney,General Fund,City Attorney,Personnel Services,Employers Contrb Hospitalizatn,417718.66,371788
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Food,0,500
2023,City Attorney,General Fund,City Attorney,Personnel Services,Group Life Insurance Perm,49887.97,51309
2023,City Attorney,General Fund,City Attorney,Contractual Services,Membership Dues & Subscription,14995,13600
2023,City Attorney,General Fund,City Attorney,Contractual Services,Mileage,0,3000
2023,City Attorney,General Fund,City Attorney,Contractual Services,Other Contractual Services,9381.11,293249
2023,City Attorney,General Fund,City Attorney,Contractual Services,Parking Validations,202.5,2700
2023,City Attorney,General Fund,City Attorney,Contractual Services,Promotional Activities,0,500
2023,City Attorney,General Fund,City Attorney,Contractual Services,Rent Of Equipment,60858.01,51316
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Repairs-Office Equipment,628.68,1852
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,1736,1736
2023,City Attorney,General Fund,City Attorney,Personnel Services,Retirement,527593,527593
2023,City Attorney,General Fund,City Attorney,Personnel Services,Retirement Expense (Vsrs Emp),56417.13,25309
2023,City Attorney,General Fund,City Attorney,Personnel Services,Semi-Monthly/Monthly,3908108.15,3835191
2023,City Attorney,General Fund,City Attorney,Personnel Services,Semi-Monthly/Monthly Overtime,123.86,0
2023,City Attorney,General Fund,City Attorney,Personnel Services,Social Security Fica Tax,275467.94,279977
2023,City Attorney,General Fund,City Attorney,Personnel Services,Special Pay & Allowances,10009.61,34000
2023,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Supplies-Office,22337.85,15999
2023,City Attorney,General Fund,City Attorney,Contractual Services,Telephone,4736.66,1800
2023,City Attorney,General Fund,City Attorney,Personnel Services,Temporary/Casual Employment,0,0
2023,City Attorney,General Fund,City Attorney,Contractual Services,Traveling Expense,17996.55,10000
2023,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Books-Under $1000,0,1000
2023,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,17.09,2144
2023,City Auditor,General Fund,City Auditor,Contractual Services,Employee Training Expense,11446.95,15000
2023,City Auditor,General Fund,City Auditor,Personnel Services,Employers Contrb Hospitalizatn,84694.79,105804
2023,City Auditor,General Fund,City Auditor,Equipment,Equip-Lease/Purchase,0,640
2023,City Auditor,General Fund,City Auditor,Equipment,Equip-Software-Over $1000,0,315
2023,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Food,97.71,0
2023,City Auditor,General Fund,City Auditor,Personnel Services,Group Life Insurance Perm,10051.47,10039
2023,City Auditor,General Fund,City Auditor,Contractual Services,Membership Dues & Subscription,7465.76,6000
2023,City Auditor,General Fund,City Auditor,Contractual Services,Mileage,122.85,214
2023,City Auditor,General Fund,City Auditor,Contractual Services,Other Contractual Services,1470.88,1250
2023,City Auditor,General Fund,City Auditor,Contractual Services,Parking Validations,34,130
2023,City Auditor,General Fund,City Auditor,Personnel Services,Retirement,122702,122702
2023,City Auditor,General Fund,City Auditor,Personnel Services,Retirement Expense (Vsrs Emp),27712.6,12914
2023,City Auditor,General Fund,City Auditor,Personnel Services,Semi-Monthly/Monthly,760874.16,764152
2023,City Auditor,General Fund,City Auditor,Personnel Services,Semi-Monthly/Monthly Overtime,0,0
2023,City Auditor,General Fund,City Auditor,Personnel Services,Social Security Fica Tax,56956.37,57357
2023,City Auditor,General Fund,City Auditor,Personnel Services,Special Pay & Allowances,10000.09,0
2023,City Auditor,General Fund,City Auditor,"Materials, Supplies, and Repairs",Supplies-Office,2303.31,2900
2023,City Auditor,General Fund,City Auditor,Contractual Services,Telephone,4608.51,1250
2023,City Auditor,General Fund,City Auditor,Personnel Services,Temporary/Casual Employment,3005,0
2023,City Auditor,General Fund,City Auditor,Contractual Services,Traveling Expense,5784.99,4000
2023,City Clerk,General Fund,City Clerk,Contractual Services,Advertising,58668.67,70000
2023,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,5500
2023,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,13105.56,949
2023,City Clerk,General Fund,City Clerk,Contractual Services,Employee Training Expense,60,5000
2023,City Clerk,General Fund,City Clerk,Personnel Services,Employers Contrb Hospitalizatn,91978.62,87224
2023,City Clerk,General Fund,City Clerk,Equipment,Equip-Books-Over $1000,24885.2,21000
2023,City Clerk,General Fund,City Clerk,Equipment,Equip-Office & Household,0,1000
2023,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Food,26039.3,28090
2023,City Clerk,General Fund,City Clerk,Personnel Services,Group Life Insurance Perm,9697.15,9738
2023,City Clerk,General Fund,City Clerk,Contractual Services,Membership Dues & Subscription,2624.05,700
2023,City Clerk,General Fund,City Clerk,Contractual Services,Other Contractual Services,75,5000
2023,City Clerk,General Fund,City Clerk,Contractual Services,Parking Validations,731,5000
2023,City Clerk,General Fund,City Clerk,Contractual Services,Promotional Activities,157233.68,180326
2023,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,4662.99,4631
2023,City Clerk,General Fund,City Clerk,Personnel Services,Retirement,114034,114034
2023,City Clerk,General Fund,City Clerk,Personnel Services,Retirement Expense (Vsrs Emp),44625.82,20606
2023,City Clerk,General Fund,City Clerk,Personnel Services,Semi-Monthly/Monthly,771395.76,717508
2023,City Clerk,General Fund,City Clerk,Personnel Services,Semi-Monthly/Monthly Overtime,194.23,0
2023,City Clerk,General Fund,City Clerk,Personnel Services,Social Security Fica Tax,59454.23,55682
2023,City Clerk,General Fund,City Clerk,Personnel Services,Special Pay & Allowances,10000.09,0
2023,City Clerk,General Fund,City Clerk,"Materials, Supplies, and Repairs",Supplies-Office,7284.6,13000
2023,City Clerk,General Fund,City Clerk,Contractual Services,Telephone,10002.92,10000
2023,City Clerk,General Fund,City Clerk,Personnel Services,Temporary/Casual Employment,21115.37,133134
2023,City Clerk,General Fund,City Clerk,Contractual Services,Traveling Expense,1110.75,4000
2023,City Clerk,General Fund,Records Management,Personnel Services,Employers Contrb Hospitalizatn,25317.51,25317
2023,City Clerk,General Fund,Records Management,Personnel Services,Group Life Insurance Perm,2174.47,2113
2023,City Clerk,General Fund,Records Management,Contractual Services,Membership Dues & Subscription,0,250
2023,City Clerk,General Fund,Records Management,Contractual Services,Other Contractual Services,76619.12,77500
2023,City Clerk,General Fund,Records Management,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,875
2023,City Clerk,General Fund,Records Management,Personnel Services,Retirement,24317,24317
2023,City Clerk,General Fund,Records Management,Personnel Services,Retirement Expense (Vsrs Emp),0,0
2023,City Clerk,General Fund,Records Management,Personnel Services,Semi-Monthly/Monthly,173951.27,157740
2023,City Clerk,General Fund,Records Management,Personnel Services,Semi-Monthly/Monthly Overtime,8.06,0
2023,City Clerk,General Fund,Records Management,Personnel Services,Social Security Fica Tax,13150.1,12068
2023,City Clerk,General Fund,Records Management,Personnel Services,Special Pay & Allowances,0,0
2023,City Clerk,General Fund,Records Management,"Materials, Supplies, and Repairs",Supplies-Office,470.96,6851
2023,City Clerk,General Fund,Records Management,Personnel Services,Temporary/Casual Employment,0,0
2023,City Council,Gen Fixed Assets Group Of Acct,City Council,Contractual Services,Depr-System Account,1010.1,0
2023,City Council,General Fund,City Council,Personnel Services,Employers Contrb Hospitalizatn,78209.9,75558
2023,City Council,General Fund,City Council,Contractual Services,Membership Dues & Subscription,16368.98,19013
2023,City Council,General Fund,City Council,Personnel Services,Retirement,31754,31754
2023,City Council,General Fund,City Council,Personnel Services,Retirement Expense (Vsrs Emp),0,0
2023,City Council,General Fund,City Council,Personnel Services,Semi-Monthly/Monthly,202777.14,202000
2023,City Council,General Fund,City Council,Personnel Services,Semi-Monthly/Monthly Overtime,0,0
2023,City Council,General Fund,City Council,Personnel Services,Social Security Fica Tax,13412.03,15457
2023,City Council,General Fund,City Council,Personnel Services,Special Pay & Allowances,0,0
2023,City Council,General Fund,City Council,Contractual Services,Telephone,0,4000
2023,City Council,General Fund,City Council,Personnel Services,Temporary/Casual Employment,0,0
2023,City Council,General Fund,City Council,Contractual Services,Traveling Expense,12644.1,39057
2023,City Manager,Gen Fixed Assets Group Of Acct,City Manager,Contractual Services,Depr-System Account,555585.63,0
2023,City Manager,General Fund,City Manager,Contractual Services,Architects & Engrs Fees,10768.05,50000
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,1500
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,1099.85,3975
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Computer Software-Under $1000,587.62,1500
2023,City Manager,General Fund,City Manager,,Dependent Care FSA,673.1,0
2023,City Manager,General Fund,City Manager,Personnel Services,Employers Contrb Hospitalizatn,112785.49,91578
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Food,1362.96,6600
2023,City Manager,General Fund,City Manager,Personnel Services,Group Life Insurance Perm,24413.54,26200
2023,City Manager,General Fund,City Manager,Contractual Services,Membership Dues & Subscription,6362.75,8677
2023,City Manager,General Fund,City Manager,Contractual Services,Other Contractual Services,240987.02,350000
2023,City Manager,General Fund,City Manager,Contractual Services,Parking Validations,1115,1000
2023,City Manager,General Fund,City Manager,Contractual Services,Promotional Activities,0,0
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,500
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,580,580
2023,City Manager,General Fund,City Manager,Personnel Services,Retirement,242222,242222
2023,City Manager,General Fund,City Manager,Personnel Services,Retirement Expense (Vsrs Emp),74078.51,33065
2023,City Manager,General Fund,City Manager,Personnel Services,Semi-Monthly/Monthly,2120780.05,1949013
2023,City Manager,General Fund,City Manager,Personnel Services,Semi-Monthly/Monthly Overtime,0,1500
2023,City Manager,General Fund,City Manager,Personnel Services,Social Security Fica Tax,128223.92,131277
2023,City Manager,General Fund,City Manager,Personnel Services,Special Pay & Allowances,75070.94,37613
2023,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Supplies-Office,5505.2,9600
2023,City Manager,General Fund,City Manager,Contractual Services,Telephone,15139.28,9320
2023,City Manager,General Fund,City Manager,Personnel Services,Temporary/Casual Employment,75310.44,16649
2023,City Manager,General Fund,City Manager,Contractual Services,Traveling Expense,16687.88,25203
2023,City Manager,General Fund,Norfolk Arts,,Dependent Care FSA,323.1,0
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Employers Contrb Hospitalizatn,29666.73,43723
2023,City Manager,General Fund,Norfolk Arts,Equipment,Equip-Office & Household,3079.79,1393
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Group Life Insurance Perm,2575.88,3090
2023,City Manager,General Fund,Norfolk Arts,Contractual Services,Other Contractual Services,33367.43,44858
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Retirement,34535,34535
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Retirement Expense (Vsrs Emp),0,0
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Semi-Monthly/Monthly,196454.08,230676
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Semi-Monthly/Monthly Overtime,0,0
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Social Security Fica Tax,14405.74,18071
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Special Pay & Allowances,0,0
2023,City Manager,General Fund,Norfolk Arts,"Materials, Supplies, and Repairs",Supplies-Office,3133.67,5500
2023,City Manager,General Fund,Norfolk Arts,Contractual Services,Telephone,3470.95,13000
2023,City Manager,General Fund,Norfolk Arts,Personnel Services,Temporary/Casual Employment,2358.01,5541
2023,City Manager,General Fund,Norfolk Arts,Contractual Services,Traveling Expense,9805.77,8312
2023,City Real Estate Assessor,Gen Fixed Assets Group Of Acct,City Real Estate Assessor,Contractual Services,Depr-System Account,691.36,0
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Advertising,1615.29,1500
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,2500
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,0,1535
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Employee Training Expense,9625,12400
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Employers Contrb Hospitalizatn,175587.31,190708
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Equipment,Equip-New Automotive,61980.24,52000
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Equipment,Equip-Office & Household,9045.46,20889
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Food,0,100
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Group Life Insurance Perm,19920.79,22596
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Membership Dues & Subscription,12822.5,12500
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Mileage,0,500
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Other Contractual Services,82411.68,202755
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Parking Validations,0,800
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Postage - Commercial,40175.3,35000
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Repairs-Office Equipment,0,1000
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,8683,8683
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Retirement,234324,234324
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Retirement Expense (Vsrs Emp),67794.29,30773
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Semi-Monthly/Monthly,1524252.37,1624160
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Semi-Monthly/Monthly Overtime,200.48,0
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Social Security Fica Tax,112902.09,124499
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Special Pay & Allowances,10000.09,0
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Supplies-Office,2786.13,3500
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Telephone,19437.16,25700
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Temporary/Casual Employment,0,3095
2023,City Real Estate Assessor,General Fund,City Real Estate Assessor,Contractual Services,Traveling Expense,10154.96,10500
2023,City Real Estate Assessor,General Fund,Real Estate Board Of Appeals,Contractual Services,Other Contractual Services,1950,3150
2023,City Treasurer,General Fund,City Treasurer,Contractual Services,Advertising,3735,6500
2023,City Treasurer,General Fund,City Treasurer,Department Specific Appropriation,Bank Fees,77238.37,0
2023,City Treasurer,General Fund,City Treasurer,Contractual Services,Billing & Deliquent Notice Svc,247412.95,208600
2023,City Treasurer,General Fund,City Treasurer,"Materials, Supplies, and Repairs",Books-Under $1000,0,500
2023,City Treasurer,General Fund,City Treasurer,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,22945.13,48000
2023,City Treasurer,General Fund,City Treasurer,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,0,1008
2023,City Treasurer,General Fund,City Treasurer,,Dependent Care FSA,1820,0
2023,City Treasurer,General Fund,City Treasurer,Contractual Services,Employee Training Expense,4034.38,10000
2023,City Treasurer,General Fund,City Treasurer,Personnel Services,Employers Contrb Hospitalizatn,218392.97,226440
2023,City Treasurer,General Fund,City Treasurer,Equipment,Equip-Office & Household,4209.9,18000
2023,City Treasurer,General Fund,City Treasurer,Personnel Services,Group Life Insurance Perm,23181.28,23968
